Project, Bugs Opened, Bugs Closed, Features Opened, Features Closed
Syncability,10,6,10,1
Kurio Android App,12,0,3,3
WTI-Accounts,2,1,2,1
Gifts,0,0,1,0
Radio,10,4,4,5
Connect,2,0,0,0
Redbull Mobile,25,25,25,25
MusicManager,16,0,15,0
MIS API,2,0,4,0
Competitions,0,0,0,1
Discovery: Universe and Tiles,2,4,2,0
Academy: Courses,0,0,0,0
TuneHog Blog,0,0,0,0
WTI-FMS,1,0,0,0
TimesRed,0,0,0,0
Recommender,4,3,2,1
Digital White Label,3,0,1,0
Discovery Mobile,0,0,0,0
HitMaker,0,0,0,1
Radio Mobile,3,0,0,0
