Project, Bugs Opened, Bugs Closed, Features Opened, Features Closed
Discovery Mobile,0,0,1,0,
Digital White Label,0,5,1,3,
Competitions,1,3,5,18,
Discovery: Universe and Tiles,0,0,0,0,
MusicManager,15,0,3,0,
MIS API,0,0,0,0,
Academy: Courses,0,0,0,0,
TuneHog Blog,9,5,0,0,
WTI-FMS,0,1,0,0,
tunehog Locate (Maps),0,0,1,0,
TimesRed,0,0,0,0,
Gifts,0,0,2,0,
Syncability,0,0,0,0,
HitMaker,2,0,1,0,
Radio Mobile,11,23,2,1,
Redbull Mobile,0,0,1,0,
Radio,0,2,5,0,
Connect,0,0,0,0,
Recommender,3,0,3,0,
Kurio Android App,2,0,9,0,
WTI-Accounts,2,3,1,0,
