Project, Bugs Opened, Bugs Closed, Features Opened, Features Closed, Total Bugs Open
Connect,0,3,1,0,1,
WTI-Accounts,1,1,0,0,1,
Radio,4,12,2,4,6,
Gifts,1,0,0,0,6,
Radio Mobile,2,0,9,0,11,
HitMaker,3,1,2,0,9,
Syncability,0,0,5,0,2,
Discovery Mobile,0,0,0,0,25,
Digital White Label,1,0,1,1,3,
Recommender,3,0,2,0,9,
Kurio Android App,3,0,14,0,4,
TimesRed,0,0,0,0,24,
tunehog Locate (Maps),1,0,1,0,10,
WTI-FMS,0,1,0,0,23,
TuneHog Blog,1,0,0,0,12,
Academy: Courses,0,0,0,0,8,
Discovery: Universe and Tiles,3,0,1,0,6,
Competitions,1,0,1,2,1,
MIS API,1,0,0,0,2,
MusicManager,9,0,2,0,26,
Redbull Mobile,0,0,0,0,8,
